date,messages,sender,topic
20200903T064113Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064139Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064143Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064144Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064145Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064149Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064150Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064205Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064219Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064234Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064235Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064236Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064236Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064237Z,"{'latitude': 35.9518173, 'longitude': 139.654426, 'altitude': 63.099998474121094}",notepc,inouelabiot/GPS
20200903T064238Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064239Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064240Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064241Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064242Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064243Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064244Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064245Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064246Z,"{'latitude': 35.951821, 'longitude': 139.6544336, 'altitude': 60.39999771118164}",notepc,inouelabiot/GPS
20200903T064519Z,"{'latitude': 35.951838699999996, 'longitude': 139.6544693, 'altitude': None}",notepc,inouelabiot/GPS
20200903T064520Z,"{'latitude': 35.951838699999996, 'longitude': 139.6544693, 'altitude': None}",notepc,inouelabiot/GPS
20200903T064521Z,"{'latitude': 35.951838699999996, 'longitude': 139.6544693, 'altitude': None}",notepc,inouelabiot/GPS
